dataset_id	resource_type	url	version_or_build	integrity_or_access_notes	planned_role
GSE62254	GEO bulk transcriptomic cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE62254	GEO public accession	Derivation cohort for the fixed ACRG subtype definition.	Derivation cohort
GSE15459	GEO bulk transcriptomic cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE15459	GEO public accession	External cohort with published clinical supplement (overall survival and subtype label).	External validation cohort
GSE84437	GEO bulk transcriptomic cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE84437	GEO public accession	GEO SuperSeries; used for cross-platform external validation.	External validation cohort
TCGA-STAD	GDC multi-omics and clinical cohort	https://portal.gdc.cancer.gov/projects/TCGA-STAD	GDC project release in use at download time	Used for supplementary clinicopathologic context (not part of primary transcriptomic OS validation).	Clinicopathologic context cohort
GSE26253	GEO FFPE transcriptomic cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26253	GEO public accession	Postoperative chemoradiotherapy cohort with recurrence information; used for supplementary recurrence-oriented analyses.	Supplementary recurrence-oriented cohort
GSE13861	GEO bulk transcriptomic cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE13861	GEO public accession	Additional public cohort reviewed during feasibility checks (not necessarily used in the final analyses).	Optional cohort (not used)
GSE26899	GEO bulk transcriptomic cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26899	GEO public accession	Nat Commun cohort family member with OS/RFS and adjuvant labels available via the linked publication supplement.	Exploratory treatment-interaction cohort
GSE26901	GEO bulk transcriptomic cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26901	GEO public accession	Nat Commun cohort family member with OS/RFS and adjuvant labels available via the linked publication supplement.	Exploratory treatment-interaction cohort
GSE26942	GEO bulk transcriptomic super-series	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE26942	GEO public accession	GEO SuperSeries; listed as a public resource but not required for the primary analyses.	Optional cohort (not used)
GSE29272	GEO bulk transcriptomic gastric cohort	https://www.ncbi.nlm.nih.gov/geo/query/acc.cgi?acc=GSE29272	GEO public accession	Public cohort listed for completeness; not required for the primary analyses.	Optional cohort (not used)
