dataset_id	outcome	model	reference_subtype	comparison_subtype	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	covariates
GSE62254	overall_survival	cox_unadjusted	MSI	EMT	hazard_ratio	3.0131	1.76667	5.13893	5.13843e-05	300	152	none
GSE62254	overall_survival	cox_unadjusted	MSI	MSS/TP53-	hazard_ratio	1.92726	1.18848	3.12528	0.0078132	300	152	none
GSE62254	overall_survival	cox_unadjusted	MSI	MSS/TP53+	hazard_ratio	1.51226	0.900871	2.53856	0.11759	300	152	none
GSE62254	overall_survival	cox_stage_adjusted	MSI	EMT	hazard_ratio	1.94085	1.12754	3.34082	0.016703	300	152	stage
GSE62254	overall_survival	cox_stage_adjusted	MSI	MSS/TP53-	hazard_ratio	1.4191	0.869997	2.31478	0.160884	300	152	stage
GSE62254	overall_survival	cox_stage_adjusted	MSI	MSS/TP53+	hazard_ratio	1.16136	0.689728	1.95549	0.57364	300	152	stage
GSE15459	overall_survival	cox_unadjusted	MSI	EMT	hazard_ratio	4.42291	1.07768	18.1521	0.0390365	192	95	none
GSE15459	overall_survival	cox_unadjusted	MSI	MSS/TP53-	hazard_ratio	2.68863	0.634913	11.3854	0.179246	192	95	none
GSE15459	overall_survival	cox_unadjusted	MSI	MSS/TP53+	hazard_ratio	2.89445	0.651586	12.8576	0.16243	192	95	none
GSE15459	overall_survival	cox_stage_adjusted	MSI	EMT	hazard_ratio	3.2439	0.781903	13.458	0.105006	192	95	stage
GSE15459	overall_survival	cox_stage_adjusted	MSI	MSS/TP53-	hazard_ratio	2.27118	0.533512	9.66851	0.267046	192	95	stage
GSE15459	overall_survival	cox_stage_adjusted	MSI	MSS/TP53+	hazard_ratio	3.03625	0.678788	13.5812	0.146208	192	95	stage
