claim_id	dataset_id	outcome	model	reference_subtype	comparison_subtype	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	covariates	adjuvant_stratum	fdr
C1	GSE62254	overall_survival	cox_stage_adjusted	MSI	EMT	hazard_ratio	1.94085	1.12754	3.34082	0.016703	300	152	stage		0.0626362
C1	GSE62254	overall_survival	cox_stage_adjusted	MSI	MSS/TP53-	hazard_ratio	1.4191	0.869997	2.31478	0.160884	300	152	stage		0.304556
C1	GSE62254	overall_survival	cox_stage_adjusted	MSI	MSS/TP53+	hazard_ratio	1.16136	0.689728	1.95549	0.57364	300	152	stage		0.685319
C1	GSE15459	overall_survival	cox_stage_adjusted	MSI	EMT	hazard_ratio	3.2439	0.781903	13.458	0.105006	192	95	stage		0.262515
C1	GSE15459	overall_survival	cox_stage_adjusted	MSI	MSS/TP53-	hazard_ratio	2.27118	0.533512	9.66851	0.267046	192	95	stage		0.421652
C1	GSE15459	overall_survival	cox_stage_adjusted	MSI	MSS/TP53+	hazard_ratio	3.03625	0.678788	13.5812	0.146208	192	95	stage		0.304556
C1	GSE84437	overall_survival	cox_pt_pn_adjusted	MSI	EMT	hazard_ratio	1.7182	1.15837	2.54859	0.00712831	433	209	pt_stage,pn_stage		0.0411773
C1	GSE84437	overall_survival	cox_pt_pn_adjusted	MSI	MSS/TP53-	hazard_ratio	1.72308	1.14145	2.60107	0.00960804	433	209	pt_stage,pn_stage		0.0411773
C1	GSE84437	overall_survival	cox_pt_pn_adjusted	MSI	MSS/TP53+	hazard_ratio	1.64197	1.01987	2.64354	0.0412567	433	209	pt_stage,pn_stage		0.112518
C1	GSE26899	overall_survival	cox_stage_adjusted	MSI	EMT	hazard_ratio	1.29784	0.512789	3.28478	0.58214	92	33	stage		0.685319
C1	GSE26899	overall_survival	cox_stage_adjusted	MSI	MSS/TP53-	hazard_ratio	0.654513	0.219122	1.95502	0.447737	92	33	stage		0.671605
C1	GSE26899	overall_survival	cox_stage_adjusted	MSI	MSS/TP53+	hazard_ratio	0.750444	0.261184	2.1562	0.593943	92	33	stage		0.685319
C1	GSE26901	overall_survival	cox_stage_adjusted	MSI	EMT	hazard_ratio	1.21006	0.471456	3.10581	0.691759	109	55	stage		0.768621
C1	GSE26901	overall_survival	cox_stage_adjusted	MSI	MSS/TP53-	hazard_ratio	0.681223	0.236037	1.96607	0.477802	109	55	stage		0.682574
C1	GSE26901	overall_survival	cox_stage_adjusted	MSI	MSS/TP53+	hazard_ratio	0.71765	0.266994	1.92897	0.510759	109	55	stage		0.685319
