dataset_id	outcome	model	reference_subtype	comparison_subtype	effect_type	effect	ci_lower	ci_upper	pvalue	n	events	covariates
GSE26899	overall_survival	cox_unadjusted	MSI	EMT	hazard_ratio	1.69887	0.676771	4.26459	0.259084	93	33	none
GSE26899	overall_survival	cox_unadjusted	MSI	MSS/TP53-	hazard_ratio	0.733227	0.246262	2.18313	0.577243	93	33	none
GSE26899	overall_survival	cox_unadjusted	MSI	MSS/TP53+	hazard_ratio	1.03741	0.363654	2.95948	0.945248	93	33	none
GSE26899	overall_survival	cox_stage_adjusted	MSI	EMT	hazard_ratio	1.29784	0.512789	3.28478	0.58214	92	33	stage
GSE26899	overall_survival	cox_stage_adjusted	MSI	MSS/TP53-	hazard_ratio	0.654513	0.219122	1.95502	0.447737	92	33	stage
GSE26899	overall_survival	cox_stage_adjusted	MSI	MSS/TP53+	hazard_ratio	0.750444	0.261184	2.1562	0.593943	92	33	stage
GSE26901	overall_survival	cox_unadjusted	MSI	EMT	hazard_ratio	2.6476	1.09163	6.42141	0.0312476	109	55	none
GSE26901	overall_survival	cox_unadjusted	MSI	MSS/TP53-	hazard_ratio	1.08541	0.386225	3.05036	0.876453	109	55	none
GSE26901	overall_survival	cox_unadjusted	MSI	MSS/TP53+	hazard_ratio	1.06	0.40274	2.78987	0.906062	109	55	none
GSE26901	overall_survival	cox_stage_adjusted	MSI	EMT	hazard_ratio	1.21006	0.471456	3.10581	0.691759	109	55	stage
GSE26901	overall_survival	cox_stage_adjusted	MSI	MSS/TP53-	hazard_ratio	0.681223	0.236037	1.96607	0.477802	109	55	stage
GSE26901	overall_survival	cox_stage_adjusted	MSI	MSS/TP53+	hazard_ratio	0.71765	0.266994	1.92897	0.510759	109	55	stage
