dataset_id	claim_id	outcome	model	reference_subtype	comparison_subtype	effect_type	effect	ci_lower	ci_upper	pvalue	fdr	n	events	covariates
GSE15459	C1	overall_survival	cox_unadjusted	MSI	EMT	hazard_ratio	4.42291	1.07768	18.1521	0.0390365	0.0742621	192	95	none
GSE15459	C1	overall_survival	cox_unadjusted	MSI	MSS/TP53-	hazard_ratio	2.68863	0.634913	11.3854	0.179246	0.201652	192	95	none
GSE15459	C1	overall_survival	cox_unadjusted	MSI	MSS/TP53+	hazard_ratio	2.89445	0.651586	12.8576	0.16243	0.194916	192	95	none
GSE15459	C1	overall_survival	cox_stage_adjusted	MSI	EMT	hazard_ratio	3.2439	0.781903	13.458	0.105006	0.171828	192	95	stage
GSE15459	C1	overall_survival	cox_stage_adjusted	MSI	MSS/TP53-	hazard_ratio	2.27118	0.533512	9.66851	0.267046	0.282755	192	95	stage
GSE15459	C1	overall_survival	cox_stage_adjusted	MSI	MSS/TP53+	hazard_ratio	3.03625	0.678788	13.5812	0.146208	0.194916	192	95	stage
GSE84437	C1	overall_survival	cox_unadjusted	MSI	EMT	hazard_ratio	2.03554	1.37597	3.01129	0.000374648	0.00337183	433	209	none
GSE84437	C1	overall_survival	cox_unadjusted	MSI	MSS/TP53-	hazard_ratio	1.71848	1.1417	2.58664	0.00945566	0.0247064	433	209	none
GSE84437	C1	overall_survival	cox_unadjusted	MSI	MSS/TP53+	hazard_ratio	1.90145	1.18377	3.05422	0.00786797	0.0247064	433	209	none
GSE84437	C1	overall_survival	cox_pt_pn_adjusted	MSI	EMT	hazard_ratio	1.7182	1.15837	2.54859	0.00712831	0.0247064	433	209	pt_stage,pn_stage
GSE84437	C1	overall_survival	cox_pt_pn_adjusted	MSI	MSS/TP53-	hazard_ratio	1.72308	1.14145	2.60107	0.00960804	0.0247064	433	209	pt_stage,pn_stage
GSE84437	C1	overall_survival	cox_pt_pn_adjusted	MSI	MSS/TP53+	hazard_ratio	1.64197	1.01987	2.64354	0.0412567	0.0742621	433	209	pt_stage,pn_stage
