dataset_id	gsm_id	sample_title	predicted_subtype	assignment_score	runner_up_subtype	runner_up_score	assignment_margin	assignment_margin_rank	assignment_entropy	score_emt	score_msi	score_mss_tp53_minus	score_mss_tp53_plus	shared_gene_count
GSE84437	GSM2235556	Y10052T	MSS/TP53-	0.216542	MSS/TP53+	0.0386863	0.177855	medium	0.99301	-0.0273597	-0.168418	0.216542	0.0386863	15335
GSE84437	GSM2235557	Y10055T	EMT	0.127715	MSS/TP53+	0.0305776	0.0971378	medium	0.996354	0.127715	-0.151172	-0.0319903	0.0305776	15335
GSE84437	GSM2235558	Y10056T	EMT	0.14596	MSS/TP53-	-0.0111428	0.157102	medium	0.995609	0.14596	-0.16622	-0.0111428	-0.0137404	15335
GSE84437	GSM2235559	Y10057T	MSS/TP53+	0.0740347	EMT	0.0511886	0.0228461	low	0.997253	0.0511886	-0.148972	0.0508671	0.0740347	15335
GSE84437	GSM2235560	Y10058T	EMT	0.322577	MSS/TP53+	-0.0867171	0.409294	high	0.981526	0.322577	-0.191491	-0.19684	-0.0867171	15335
GSE84437	GSM2235561	Y10060T	EMT	0.183749	MSS/TP53-	-0.0901477	0.273897	high	0.994261	0.183749	-0.102822	-0.0901477	-0.0925387	15335
GSE84437	GSM2235562	Y10063T	MSS/TP53-	0.180699	MSS/TP53+	0.0234352	0.157264	medium	0.995224	-0.145865	0.0190599	0.180699	0.0234352	15335
GSE84437	GSM2235563	Y10065T	MSS/TP53-	0.156423	MSI	0.0216105	0.134813	medium	0.996582	-0.101866	0.0216105	0.156423	-0.0424403	15335
GSE84437	GSM2235564	Y10079T	MSS/TP53-	0.252646	MSI	0.0614723	0.191174	medium	0.990216	-0.206627	0.0614723	0.252646	-0.0223938	15335
GSE84437	GSM2235565	Y10081T	EMT	0.455276	MSS/TP53-	-0.196692	0.651968	high	0.960805	0.455276	-0.26222	-0.196692	-0.25524	15335
GSE84437	GSM2235566	Y10087T	EMT	0.0865931	MSS/TP53-	0.0494138	0.0371793	low	0.997453	0.0865931	-0.137527	0.0494138	-0.0219098	15335
GSE84437	GSM2235567	Y10088T	EMT	0.21477	MSS/TP53+	-0.0570724	0.271842	high	0.99206	0.21477	-0.161047	-0.0913059	-0.0570724	15335
GSE84437	GSM2235568	Y10094T	MSS/TP53-	0.196785	MSS/TP53+	0.0148776	0.181908	medium	0.995209	-0.107271	-0.037968	0.196785	0.0148776	15335
GSE84437	GSM2235569	Y10095T	MSS/TP53-	0.2216	MSI	0.136107	0.0854926	medium	0.988743	-0.270688	0.136107	0.2216	0.0332907	15335
GSE84437	GSM2235570	Y10098T	MSS/TP53-	0.0802169	EMT	0.0403638	0.0398531	low	0.998071	0.0403638	-0.118863	0.0802169	0.00211807	15335
GSE84437	GSM2235571	Y10103T	MSS/TP53-	0.171084	MSS/TP53+	0.0627159	0.108368	medium	0.995026	-0.161215	0.0239694	0.171084	0.0627159	15335
GSE84437	GSM2235572	Y10106T	EMT	0.285443	MSS/TP53+	-0.0670148	0.352458	high	0.985634	0.285443	-0.167792	-0.182805	-0.0670148	15335
GSE84437	GSM2235573	Y10111T	EMT	0.112697	MSS/TP53+	0.0198224	0.0928746	medium	0.997083	0.112697	-0.140569	-0.0147413	0.0198224	15335
GSE84437	GSM2235574	Y10112T	EMT	0.0723083	MSS/TP53-	0.046069	0.0262393	low	0.998102	0.0723083	-0.0769077	0.046069	-0.0918557	15335
GSE84437	GSM2235575	Y10113T	MSS/TP53-	0.180842	MSS/TP53+	0.0284599	0.152382	medium	0.995916	-0.0911761	-0.0526251	0.180842	0.0284599	15335
GSE84437	GSM2235576	Y10117T	MSI	0.108037	MSS/TP53+	0.0226381	0.0853993	medium	0.998275	-0.0596181	0.108037	-0.0551793	0.0226381	15335
